	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-mir-1942 MI0009931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-344d-2 MI0004619	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
mmu-mir-326 MI0000598	17	13	8	6	18	1	2	4	0	4	16	5	28	12	15
mmu-mir-128-2 MI0000726	59	37	50	33	23	111	106	126	117	88	75	43	57	57	42
mmu-mir-704 MI0004688	3	0	1	1	0	0	0	0	3	2	0	0	0	3	1
mmu-mir-3473h MI0040641	13	4	4	13	10	7	13	16	13	10	10	6	8	6	5
mmu-mir-219c MI0025034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-466i MI0006282	2	1	0	3	0	1	2	0	0	0	0	0	0	1	0
mmu-mir-7662 MI0025002	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-mir-124-2 MI0000717	0	0	1	0	0	0	0	0	0	0	1	0	2	2	3
mmu-mir-370 MI0001165	347	165	154	165	154	235	224	400	384	387	343	317	240	223	282
mmu-mir-217 MI0000731	1	0	1	1	1	0	0	3	0	0	1	0	3	1	2
mmu-mir-6418 MI0021956	0	0	0	0	2	1	1	0	0	0	0	0	1	2	0
mmu-mir-148b MI0000617	999	765	571	576	761	281	221	683	496	356	1090	788	1117	787	1056
mmu-mir-138-1 MI0000722	7	16	15	10	29	0	1	5	1	2	43	3	36	15	61
mmu-mir-5112 MI0018021	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
mmu-let-7c-1 MI0000559	11876	10804	9080	8619	9654	6225	8505	9724	10742	7865	15614	10302	12560	11182	18239
mmu-mir-669l MI0009942	1	1	1	0	2	0	1	0	0	0	1	0	0	0	7
mmu-mir-499 MI0004676	158	396	329	310	219	32	58	116	137	89	649	148	457	558	385
mmu-mir-1946b MI0009967	1	0	0	0	2	0	0	0	1	0	0	1	0	0	1
mmu-mir-466d MI0005546	0	0	1	0	6	0	2	1	0	0	7	0	2	1	5
mmu-mir-7661 MI0025001	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0
mmu-mir-6912 MI0022759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-758 MI0004129	25	18	13	13	20	13	15	22	18	24	34	16	33	24	36
mmu-mir-1187 MI0006285	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-7005 MI0022854	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
mmu-mir-6417 MI0021955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-351 MI0000643	1731	1319	1083	658	1100	617	666	1400	941	1248	1847	1328	1870	1459	1777
mmu-mir-1197 MI0006305	6	18	20	23	21	0	2	5	0	3	32	6	28	45	31
mmu-mir-380 MI0000797	558	798	629	447	569	167	112	436	284	257	1213	490	910	930	1059
mmu-mir-3108 MI0014105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-mir-615 MI0005004	123	124	110	101	106	179	211	262	177	260	224	123	148	175	131
mmu-mir-7085 MI0022935	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0
mmu-mir-7226 MI0023721	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-mir-6925 MI0022772	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
mmu-mir-3471-1 MI0014699	0	0	0	2	10	0	0	1	0	1	0	0	0	0	1
mmu-mir-1970b MI0040628	4	0	2	5	1	1	0	2	0	1	0	3	0	3	3
mmu-mir-365-2 MI0001645	80	173	180	133	210	30	30	56	24	35	243	95	268	221	345
mmu-mir-17 MI0000687	188	510	397	296	377	24	9	69	24	25	627	145	520	543	711
mmu-mir-582 MI0006127	18	11	16	5	3	3	1	3	1	3	12	9	14	15	12
mmu-mir-7018 MI0022867	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-181c MI0000724	36	111	102	85	140	9	13	20	10	14	164	25	143	135	132
mmu-mir-186 MI0000228	298	572	431	450	578	60	33	175	74	72	831	198	736	766	702
mmu-mir-547 MI0003523	3	5	3	2	3	0	0	7	1	0	2	0	5	1	1
mmu-mir-3076 MI0014039	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
mmu-mir-3059 MI0004412	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1
mmu-mir-1b MI0006283	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
mmu-mir-1970c MI0040652	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-mir-703 MI0004687	2	6	2	7	8	7	11	8	10	4	4	4	4	6	1
mmu-mir-3084-1 MI0014047_>mmu-mir-3084-2 MI0020958	2	5	1	5	6	1	1	2	1	1	2	1	1	1	3
mmu-mir-181a-2 MI0000223	3467	4897	3595	3709	4691	1183	1242	2613	1660	1387	5979	2555	5458	5185	6489
mmu-mir-1943 MI0009932	10	6	4	3	4	10	9	7	12	10	7	4	4	6	5
mmu-mir-124b MI0040637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-32 MI0000691	26	62	42	57	35	0	1	8	10	3	97	16	60	39	88
mmu-let-7c-2 MI0000560	12217	11282	9520	8979	9995	6301	8622	9931	10863	8012	16252	10621	13173	11912	18889
mmu-mir-7675 MI0025016	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
mmu-mir-505 MI0004706	4	4	4	2	4	2	1	0	2	1	4	0	8	4	6
mmu-mir-719 MI0004651	4	0	0	0	3	3	1	0	1	1	0	1	0	1	0
mmu-mir-6906 MI0022753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-300 MI0000400	3524	3690	2938	2241	4168	708	617	3452	1938	2183	5703	2235	5032	4722	4984
mmu-let-7g MI0000137	24215	20456	18517	16165	12371	6238	7659	15686	9685	7436	29220	23305	29127	20655	30504
mmu-mir-24-1 MI0000231	6753	12753	9259	8096	12127	2256	2754	5944	3253	3307	17229	5877	13265	13112	14377
mmu-mir-1898 MI0008324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-5126 MI0018038	2	0	0	4	1	0	1	2	5	0	0	0	0	0	0
mmu-mir-6940 MI0022787	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
mmu-mir-297c MI0005492	1	0	0	0	0	0	0	0	0	0	0	1	2	0	2
mmu-mir-6240 MI0021587	308	389	327	1659	1812	501	1628	706	515	631	255	358	137	172	220
mmu-mir-124-3 MI0000150	0	0	1	0	0	0	0	0	0	0	1	0	2	2	3
mmu-mir-8118 MI0026050	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-mir-8091 MI0026018	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0
mmu-mir-489 MI0003476	1	7	4	1	1	0	0	1	1	0	8	1	3	2	7
mmu-mir-671 MI0004133	61	36	42	25	41	88	55	88	75	107	69	52	43	56	52
mmu-mir-322 MI0000590	1587	1761	1327	860	895	591	560	1236	641	864	1981	1264	1728	1607	1808
mmu-mir-421 MI0005496	12	21	9	15	21	3	0	20	4	3	23	10	29	30	28
mmu-mir-3473d MI0018033	1	3	1	2	2	1	2	3	0	4	2	1	2	2	0
mmu-mir-7013 MI0022862	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
mmu-mir-28b MI0016979	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
mmu-mir-6970 MI0022818	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mmu-mir-669o MI0009945	3	2	4	3	6	0	1	0	1	0	6	5	1	3	16
mmu-mir-30e MI0000259	3601	7251	6461	6173	6067	407	314	1310	624	474	10577	3102	7995	8171	7037
mmu-mir-223 MI0000703	18	18	14	9	14	6	13	9	28	7	24	21	29	22	34
mmu-mir-297a-1 MI0000395	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
mmu-mir-122 MI0000256	26	62	4	5	122	20	19	91	14	130	0	1	1	0	9
mmu-let-7i MI0000138	34190	20058	16320	14550	16410	12963	14474	28568	26398	17118	29967	31439	25759	19877	30187
mmu-mir-140 MI0000165	1217	1048	752	695	1129	126	106	415	248	228	1582	901	1364	1008	1585
mmu-mir-1224 MI0004118	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1
mmu-mir-7213 MI0023708	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1
mmu-mir-344f MI0014098	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-mir-701 MI0004685	0	4	2	5	4	0	0	0	0	0	3	3	5	10	5
mmu-mir-7677 MI0025022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-mir-1306 MI0009935	6	4	5	8	7	4	4	10	9	5	7	7	6	6	12
mmu-mir-6972 MI0022820	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
mmu-mir-452 MI0001734	9	12	5	4	0	2	0	5	4	3	20	6	10	6	10
