	LN	LN	LN	LN	LN	NL	NL	NL	NL	NL	NN	NN	NN	NN	NN
mmu-let-7j MIMAT0025123	0	0	0	1	0	0	0	1	2	4	1	5	1	0	3
mmu-miR-5709-3p MIMAT0027104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-29a-5p MIMAT0004631	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
mmu-miR-3103-3p MIMAT0014938	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
mmu-miR-19b-1-5p MIMAT0017065	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0
mmu-miR-6964-3p MIMAT0027829	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0
mmu-miR-99a-3p MIMAT0016981	0	0	0	1	3	0	0	0	0	0	2	0	1	0	0
mmu-miR-190b-5p MIMAT0004852	0	3	2	4	3	0	0	0	0	1	4	2	5	1	1
mmu-miR-144-5p MIMAT0016988	27	37	27	46	41	0	0	9	3	5	77	11	25	38	60
mmu-miR-7226-3p MIMAT0028421	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-7036a-5p MIMAT0027976	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-1932 MIMAT0009395	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
mmu-miR-193a-5p MIMAT0004544	20	21	17	19	9	11	16	12	12	11	33	29	15	30	34
mmu-miR-3068-3p MIMAT0014843	12	12	11	6	11	2	1	8	4	3	17	11	25	23	23
mmu-miR-8114 MIMAT0031420	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1
mmu-miR-411-3p MIMAT0001093	149	241	186	73	166	62	94	246	178	150	394	122	362	387	428
mmu-miR-466a-3p MIMAT0002107_>mmu-miR-466e-3p MIMAT0004880	1	1	3	1	5	0	1	0	1	0	4	0	3	1	3
mmu-miR-3473d MIMAT0020632	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
mmu-miR-6996-3p MIMAT0027895	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-450a-1-3p MIMAT0017182	6	6	10	5	2	0	1	3	0	3	16	1	11	8	15
mmu-miR-124-3p MIMAT0000134	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
mmu-miR-466g MIMAT0004883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1191a MIMAT0005849	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
mmu-miR-3070-5p MIMAT0014846	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
mmu-miR-297a-5p MIMAT0000375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
mmu-miR-3109-3p MIMAT0014950	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-470-5p MIMAT0002111	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
mmu-miR-598-3p MIMAT0004942	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-3059-5p MIMAT0014811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-433-3p MIMAT0001420	17	10	5	9	4	15	15	24	24	38	22	8	8	7	8
mmu-miR-5100 MIMAT0020607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1298-5p MIMAT0014809	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
mmu-miR-7679-3p MIMAT0029873	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mmu-miR-490-5p MIMAT0017261	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-433-5p MIMAT0001419	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
mmu-miR-670-3p MIMAT0017242	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
mmu-miR-338-5p MIMAT0004647	57	39	42	36	62	20	68	50	57	53	90	51	125	61	208
mmu-miR-7235-3p MIMAT0028439	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-1970c-3p MIMAT0049877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-194-2-3p MIMAT0017073	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-532-3p MIMAT0004781	82	72	45	44	83	8	13	40	7	18	92	31	84	103	106
mmu-miR-375-3p MIMAT0000739	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1
mmu-miR-7054-5p MIMAT0028012	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-1191b-5p MIMAT0029866	5	2	4	5	2	1	2	3	1	0	9	4	1	3	4
mmu-miR-181a-5p MIMAT0000210	2801	3987	2823	2920	3715	964	1034	2136	1324	1158	4780	2061	4406	4075	5411
mmu-miR-7664-3p MIMAT0029835	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
mmu-miR-187-3p MIMAT0000216	2	2	2	2	7	0	0	0	1	0	3	2	1	6	3
mmu-miR-467c-5p MIMAT0004885	0	2	1	1	0	0	0	2	3	0	2	0	4	3	3
